timestamp,open,high,low,close,volume,close_fut,open_interest,close_ce,open_interest_ce,expiry,close_pe,open_interest_pe,ema_5,ema_15,returns,futures_basis,call_iv,put_iv,time_to_expiry,pcr_oi,iv_spread,avg_iv
2025-07-14,25149.5,25151.1,25001.95,25082.3,259533624,,,,,,,,25082.3,25082.3,,,0.2,0.2,,,0.0,0.2
2025-07-15,25089.5,25245.2,25088.45,25195.8,241340130,,,,,,,,25120.133333333335,25096.4875,0.004525103359739768,,0.2,0.2,,,0.0,0.2
2025-07-16,25196.6,25255.3,25121.05,25212.05,228815928,,,,,,,,25150.772222222226,25110.9328125,0.0006449487613013893,,0.2,0.2,,,0.0,0.2
2025-07-17,25230.75,25238.35,25101.0,25111.45,243412540,,,,,,,,25137.66481481482,25110.997460937502,-0.0039901555010400935,,0.2,0.2,,,0.0,0.2
2025-07-18,25108.55,25144.6,24918.65,24968.4,316979826,,,,,,,,25081.24320987655,25093.172778320313,-0.005696604536974181,,0.2,0.2,,,0.0,0.2
2025-07-21,24999.0,25111.4,24882.3,25090.7,305216414,,,,,,,,25084.395473251036,25092.863681030274,0.004898191313820632,,0.2,0.2,,,0.0,0.2
2025-07-22,25166.65,25182.0,25035.55,25060.9,483725120,,,,,,,,25076.563648834024,25088.868220901488,-0.0011876910568456855,,0.2,0.2,,,0.0,0.2
2025-07-23,25139.35,25233.5,25085.5,25219.9,271539651,,,,,,,,25124.34243255602,25105.2471932888,0.006344544689137255,,0.2,0.2,,,0.0,0.2
2025-07-24,25243.3,25246.25,25018.7,25062.1,338728860,,,,,,,,25103.594955037348,25099.8537941277,-0.00625696374688256,,0.2,0.2,,,0.0,0.2
2025-07-25,25010.35,25010.35,24806.35,24837.0,278136104,,,,,,,,25014.729970024902,25066.997069861736,-0.00898168948332334,,0.2,0.2,,,0.0,0.2
2025-07-28,24782.45,24889.2,24646.6,24680.9,262142969,,,,,,,,24903.45331334994,25018.734936129018,-0.006284978056931179,,0.2,0.2,,,0.0,0.2
2025-07-29,24609.65,24847.15,24598.6,24821.1,284657235,,,,,,,,24876.00220889996,24994.030569112892,0.005680505978306938,,0.2,0.2,,,0.0,0.2
2025-07-30,24890.4,24902.3,24771.95,24855.05,243886726,,,,,,,,24869.01813926664,24976.65799797378,0.0013677878901419138,,0.2,0.2,,,0.0,0.2
2025-07-31,24642.25,24956.5,24635.0,24768.35,346303628,,,,,,,,24835.462092844427,24950.619498227057,-0.003488224726966971,,0.2,0.2,,,0.0,0.2
2025-08-01,24734.9,24784.15,24535.05,24565.35,263357194,,,,,,,,24745.424728562954,24902.460810948676,-0.008195943613522938,,0.2,0.2,,,0.0,0.2
2025-08-04,24596.05,24736.25,24554.0,24722.75,259329477,,,,,,,,24737.86648570864,24879.99695958009,0.006407399039704442,,0.2,0.2,,,0.0,0.2
2025-08-05,24720.25,24733.1,24590.3,24649.55,251849778,,,,,,,,24708.427657139095,24851.19108963258,-0.00296083566755323,,0.2,0.2,,,0.0,0.2
2025-08-06,24641.35,24671.4,24539.2,24574.2,225091071,,,,,,,,24663.685104759395,24816.56720342851,-0.003056850936426825,,0.2,0.2,,,0.0,0.2
2025-08-07,24464.2,24634.2,24344.15,24596.15,616739190,,,,,,,,24641.173403172932,24789.015052999945,0.0008932132073475874,,0.2,0.2,,,0.0,0.2
2025-08-08,24544.25,24585.5,24337.5,24363.3,312630157,,,,,,,,24548.548935448624,24735.80067137495,-0.009466928767307148,,0.2,0.2,,,0.0,0.2
2025-08-11,24371.5,24600.85,24347.45,24585.05,241145497,,,,,,,,24560.715956965752,24716.95683745308,0.009101804763722576,,0.2,0.2,,,0.0,0.2
2025-08-12,24563.35,24702.6,24465.65,24487.4,237002462,,,,,,,,24536.277304643838,24688.262232771445,-0.003971926028216277,,0.2,0.2,,,0.0,0.2
2025-08-13,24586.2,24664.55,24535.25,24619.35,236006791,,,,,,,,24563.968203095894,24679.648203675017,0.005388485506832019,,0.2,0.2,,,0.0,0.2
2025-08-14,24607.25,24673.65,24596.9,24631.3,270162203,,,,,,,,24586.412135397266,24673.604678215637,0.0004853905566151173,,0.2,0.2,,,0.0,0.2
2025-08-18,24938.2,25022.0,24852.85,24876.95,363071305,,,,,,,,24683.258090264844,24699.022843438685,0.009973083028504526,,0.2,0.2,,,0.0,0.2
2025-08-19,24891.35,25012.65,24873.95,24980.65,252340828,,,,,,,,24782.38872684323,24734.226238008847,0.004168517442853847,,0.2,0.2,,,0.0,0.2
2025-08-20,24965.8,25088.7,24929.7,25050.55,287054119,,,,,,,,24871.77581789549,24773.76670825774,0.002798165780313777,,0.2,0.2,,,0.0,0.2
2025-08-21,25142.0,25153.65,25054.9,25083.75,226542052,,,,,,,,24942.433878596996,24812.514619725524,0.001325320202550495,,0.2,0.2,,,0.0,0.2
2025-08-22,25064.15,25084.85,24859.15,24870.1,210165384,,,,,,,,24918.322585731334,24819.712792259834,-0.0085174664872677,,0.2,0.2,,,0.0,0.2
2025-08-25,24949.15,25021.55,24894.35,24967.75,213032133,,,,,,,,24934.79839048756,24838.217443227353,0.003926401582623473,,0.2,0.2,,,0.0,0.2
2025-08-26,24899.5,24919.65,24689.6,24712.05,750473927,,,,,,,,24860.548926991705,24822.44651282393,-0.01024121116239951,,0.2,0.2,,,0.0,0.2
2025-08-28,24695.8,24702.65,24481.6,24500.9,326601486,,,,,,,,24740.665951327806,24782.25319872094,-0.008544414566982406,,0.2,0.2,,,0.0,0.2
2025-08-29,24466.7,24572.45,24404.7,24426.85,325543583,,,,,,,,24636.06063421854,24737.827798880822,-0.0030223379549323415,,0.2,0.2,,,0.0,0.2
2025-09-01,24432.7,24635.6,24432.7,24625.05,229327424,,,,,,,,24632.39042281236,24723.73057402072,0.008114022069976246,,0.2,0.2,,,0.0,0.2
2025-09-02,24653.0,24756.1,24522.35,24579.6,271558516,,,,,,,,24614.79361520824,24705.71425226813,-0.001845681531611132,,0.2,0.2,,,0.0,0.2
2025-09-03,24616.5,24737.05,24533.2,24715.05,340283328,,,,,,,,24648.21241013883,24706.881220734613,0.005510667382707668,,0.2,0.2,,,0.0,0.2
2025-09-04,24980.75,24980.75,24708.2,24734.3,314094160,,,,,,,,24676.90827342589,24710.308568142784,0.0007788776474253467,,0.2,0.2,,,0.0,0.2
