timestamp,open,high,low,close,volume
2025-07-14,25149.5,25151.1,25001.95,25082.3,259533624
2025-07-15,25089.5,25245.2,25088.45,25195.8,241340130
2025-07-16,25196.6,25255.3,25121.05,25212.05,228815928
2025-07-17,25230.75,25238.35,25101.0,25111.45,243412540
2025-07-18,25108.55,25144.6,24918.65,24968.4,316979826
2025-07-21,24999.0,25111.4,24882.3,25090.7,305216414
2025-07-22,25166.65,25182.0,25035.55,25060.9,483725120
2025-07-23,25139.35,25233.5,25085.5,25219.9,271539651
2025-07-24,25243.3,25246.25,25018.7,25062.1,338728860
2025-07-25,25010.35,25010.35,24806.35,24837.0,278136104
2025-07-28,24782.45,24889.2,24646.6,24680.9,262142969
2025-07-29,24609.65,24847.15,24598.6,24821.1,284657235
2025-07-30,24890.4,24902.3,24771.95,24855.05,243886726
2025-07-31,24642.25,24956.5,24635.0,24768.35,346303628
2025-08-01,24734.9,24784.15,24535.05,24565.35,263357194
2025-08-04,24596.05,24736.25,24554.0,24722.75,259329477
2025-08-05,24720.25,24733.1,24590.3,24649.55,251849778
2025-08-06,24641.35,24671.4,24539.2,24574.2,225091071
2025-08-07,24464.2,24634.2,24344.15,24596.15,616739190
2025-08-08,24544.25,24585.5,24337.5,24363.3,312630157
2025-08-11,24371.5,24600.85,24347.45,24585.05,241145497
2025-08-12,24563.35,24702.6,24465.65,24487.4,237002462
2025-08-13,24586.2,24664.55,24535.25,24619.35,236006791
2025-08-14,24607.25,24673.65,24596.9,24631.3,270162203
2025-08-18,24938.2,25022.0,24852.85,24876.95,363071305
2025-08-19,24891.35,25012.65,24873.95,24980.65,252340828
2025-08-20,24965.8,25088.7,24929.7,25050.55,287054119
2025-08-21,25142.0,25153.65,25054.9,25083.75,226542052
2025-08-22,25064.15,25084.85,24859.15,24870.1,210165384
2025-08-25,24949.15,25021.55,24894.35,24967.75,213032133
2025-08-26,24899.5,24919.65,24689.6,24712.05,750473927
2025-08-28,24695.8,24702.65,24481.6,24500.9,326601486
2025-08-29,24466.7,24572.45,24404.7,24426.85,325543583
2025-09-01,24432.7,24635.6,24432.7,24625.05,229327424
2025-09-02,24653.0,24756.1,24522.35,24579.6,271558516
2025-09-03,24616.5,24737.05,24533.2,24715.05,340283328
2025-09-04,24980.75,24980.75,24708.2,24734.3,314094160
2025-09-05,24818.85,24832.35,24621.6,24741.0,210071924
2025-09-08,24802.6,24885.5,24751.55,24773.15,213228202
2025-09-09,24864.1,24891.8,24814.0,24868.6,226919775
2025-09-10,24991.0,25035.7,24915.05,24973.1,244146466
2025-09-11,24945.5,25037.3,24940.15,25005.5,224570983
2025-09-12,25074.45,25139.45,25038.05,25114.0,225739766
2025-09-15,25118.9,25138.45,25048.75,25069.2,185375759
2025-09-16,25073.6,25261.4,25070.45,25239.1,240122320
2025-09-17,25276.6,25346.5,25275.35,25330.25,268936695
2025-09-18,25441.05,25448.55,25329.75,25423.6,272193683
2025-09-19,25410.2,25431.4,25286.3,25327.05,380362832
2025-09-22,25238.1,25331.7,25151.05,25202.35,254509892
2025-09-23,25209.0,25261.9,25084.65,25169.5,299204338
2025-09-24,25108.75,25149.85,25027.45,25056.9,244382281
2025-09-25,25034.5,25092.7,24878.3,24890.85,342534768
2025-09-26,24818.55,24868.6,24629.45,24654.7,291537949
2025-09-29,24728.55,24791.3,24606.2,24634.9,394388242
2025-09-30,24691.95,24731.8,24587.7,24611.1,304924720
2025-10-01,24620.55,24867.95,24605.95,24836.3,308135228
2025-10-03,24759.55,24904.8,24747.55,24894.25,366929642
2025-10-06,24916.55,25095.95,24881.65,25077.65,271953070
2025-10-07,25085.3,25220.9,25076.3,25108.3,286833765
2025-10-08,25079.75,25192.5,25008.5,25046.15,225967495
2025-10-09,25074.3,25199.25,25024.3,25181.8,286253252
2025-10-10,25167.65,25330.75,25156.85,25285.35,232943306
2025-10-13,25177.3,25267.3,25152.3,25227.35,234285202
2025-10-14,25277.55,25310.35,25060.55,25145.5,292129083
2025-10-15,25181.95,25365.15,25159.35,25323.55,289930172
2025-10-16,25394.9,25625.4,25376.85,25585.3,372777021
2025-10-17,25546.85,25781.5,25508.6,25709.85,422055809
2025-10-20,25824.6,25926.2,25788.5,25843.15,301133193
2025-10-21,25901.2,25934.35,25825.8,25868.6,42477128
2025-10-23,26057.2,26104.2,25862.45,25891.4,448404894
2025-10-24,25935.1,25944.15,25718.2,25795.15,284913477
2025-10-27,25843.2,26005.95,25827.0,25966.05,266337274
2025-10-28,25939.95,26041.7,25810.05,25936.2,395231207
2025-10-29,25982.0,26097.85,25960.3,26053.9,321880610
2025-10-30,25984.4,26032.05,25845.25,25877.85,257373001
2025-10-31,25863.8,25953.75,25711.2,25722.1,334384400
2025-11-03,25696.85,25803.1,25645.5,25763.35,275858501
2025-11-04,25744.75,25787.4,25578.4,25597.65,305143084
2025-11-06,25593.35,25679.15,25491.55,25509.7,371852417
2025-11-07,25433.8,25551.25,25318.45,25492.3,305606393
2025-11-10,25503.5,25653.45,25503.5,25574.35,243592948
2025-11-11,25617.0,25715.8,25449.25,25694.95,297714069
2025-11-12,25834.3,25934.55,25781.15,25875.8,343864299
2025-11-13,25906.1,26010.7,25808.4,25879.15,385170023
2025-11-14,25767.9,25940.2,25740.8,25910.05,518943416
2025-11-17,25948.2,26024.2,25906.35,26013.45,264610565
2025-11-18,26021.8,26029.85,25876.5,25910.05,280000989
2025-11-19,25918.1,26074.65,25856.2,26052.65,250110008
2025-11-20,26132.1,26246.65,26063.2,26192.15,240425729
2025-11-21,26109.55,26179.2,26052.2,26068.15,235581427
2025-11-24,26122.8,26142.8,25912.15,25959.5,464655063
2025-11-25,25998.5,26032.6,25857.5,25884.8,260454909
2025-11-26,25842.95,26215.15,25842.95,26205.3,275265169
2025-11-27,26261.25,26310.45,26141.9,26215.55,240287057
2025-11-28,26237.45,26280.75,26172.4,26202.95,202511545
2025-12-01,26325.8,26325.8,26124.2,26175.75,213828573
2025-12-02,26087.95,26154.6,25997.85,26032.2,254803113
2025-12-03,26004.9,26066.45,25891.0,25986.0,265660108
2025-12-04,25981.85,26098.25,25938.95,26033.75,248099545
2025-12-05,25999.8,26202.6,25985.35,26186.45,249254405
2025-12-08,26159.8,26178.7,25892.25,25960.55,320729920
2025-12-09,25867.1,25923.65,25728.0,25839.65,275978160
2025-12-10,25864.05,25947.65,25734.55,25758.0,207944446
2025-12-11,25771.4,25922.8,25693.25,25898.55,206099631
2025-12-12,25971.2,26057.6,25938.45,26046.95,216344338
2025-12-15,25930.05,26047.15,25904.75,26027.3,181557703
2025-12-16,25951.5,25980.75,25834.35,25860.1,264351195
2025-12-17,25902.4,25929.15,25770.35,25818.55,206521258
2025-12-18,25764.7,25902.35,25726.3,25815.55,197553755
2025-12-19,25911.5,25993.35,25880.45,25966.4,382927284
2025-12-22,26055.85,26180.7,26047.8,26172.4,252990050
2025-12-23,26205.2,26233.55,26119.05,26177.15,216553840
2025-12-24,26170.65,26236.4,26123.0,26142.1,188846828
2025-12-26,26121.25,26144.2,26008.6,26042.3,142243763
2025-12-29,26063.35,26106.8,25920.3,25942.1,234312888
2025-12-30,25940.9,25976.75,25878.0,25938.85,396893959
2025-12-31,25971.05,26187.95,25969.0,26129.6,246314941
2026-01-01,26173.3,26197.55,26113.4,26146.55,425631910
2026-01-02,26155.1,26340.0,26118.4,26328.55,357547806
2026-01-05,26333.7,26373.2,26210.05,26250.3,338777649
2026-01-06,26189.7,26273.95,26124.75,26178.7,383040203
2026-01-07,26143.1,26187.15,26067.9,26140.75,338216740
2026-01-08,26106.5,26133.2,25858.45,25876.85,328520950
2026-01-09,25840.4,25940.6,25623.0,25683.3,348757262
2026-01-12,25669.05,25813.15,25473.4,25790.25,275757268
2026-01-13,25897.35,25899.8,25603.3,25732.3,339536336
