instrument,symbol,expiry,expiry_dt_final,strike,option_type,open,high,low,close,settle_pr,volume,turnover,open_interest,chg_in_oi,timestamp
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,26455.1,26493.8,26301.4,26334.7,26334.7,65083,1287548.49,14077275,458175,2025-12-01
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,26278.8,26315.0,26181.0,26213.0,26213.0,67766,1333227.11,14568000,490725,2025-12-02
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,26225.0,26225.0,26049.0,26136.2,26136.2,73515,1439210.16,15189000,621000,2025-12-03
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,26105.0,26243.9,26070.2,26186.5,26186.5,60874,1194515.88,15098475,-90525,2025-12-04
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,26151.9,26370.0,26151.9,26333.2,26333.2,78894,1555002.95,14727075,-371400,2025-12-05
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,26325.0,26325.0,26030.0,26064.7,26064.7,88146,1729161.8,15977700,1250625,2025-12-08
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,25999.0,26039.0,25875.0,25960.2,25960.2,90887,1769317.82,16474200,496500,2025-12-09
FUTIDX,NIFTY,2025-12-30,2025-12-30,,,25882.3,26061.0,25842.0,25863.9,25863.9,66432,1292216.23,16857150,382950,2025-12-10
